name,player_unique_id,number,t_b,height,weight,born,debut,nationality,draft_order,position,team
洛奇,6124,50,右投右打,183,93,1989-12-14,2020-04-16,美國,,投手,統一7-ELEVEn獅
達尼爾,6126,75,左投左打,188,100,1989-02-02,2020-05-24,美國,,投手,統一7-ELEVEn獅
黃淇,6125,83,右投右打,175,75,1999-10-25,,中華民國,,游擊手,味全龍二軍
李其峰,6127,30,右投右打,180,73,1997-10-14,2020-10-04,中華民國,統一7-ELEVEn獅2020年第四輪,投手,統一7-ELEVEn獅二軍
蕭柏頤,6169,0,右投右打,178,76,2000-11-08,,中華民國,台鋼雄鷹2022年第十七輪,投手,台鋼雄鷹二軍
潘泓凱,6140,81,右投右打,177,80,1997-06-14,,中華民國,中信兄弟2022年第八輪,捕手,中信兄弟二軍
余謙,6176,49,右投右打,180,85,2001-04-09,2021-05-07,中華民國,中信兄弟2020年第一輪,投手,中信兄弟
泰迪,6209,39,右投右打,193,98,1993-11-25,2020-08-28,美國,,投手,味全龍二軍
李超,6160,0,右投右打,191,95,1999-10-23,2023-04-27,中華民國,,投手,味全龍
謝修銓,6144,63,右投右打,181,84,1995-11-05,2022-10-19,中華民國,統一7-ELEVEn獅2021年第七輪,游擊手,統一7-ELEVEn獅二軍
林逸達,6159,48,右投右打,185,99,2000-12-26,2021-08-20,中華民國,味全龍2020年第二輪,投手,味全龍二軍
劉崇聖,6205,76,右投右打,183,90,2000-10-31,,中華民國,味全龍2020年第七輪,投手,味全龍二軍
何稟淳,6203,012,右投右打,186,76,1996-09-12,,中華民國,,投手,富邦悍將二軍
蔡鎮宇,6202,24,右投右打,168,78,1996-11-20,2021-11-11,中華民國,樂天桃猿2020年第九輪,左外野手,樂天桃猿
霸威斯,6206,20,左投右打,178,97,1991-03-13,2020-08-09,墨西哥,,投手,樂天桃猿二軍
曼恩,6212,70,左投左打,188,87,1984-05-16,2020-09-10,美國,,投手,樂天桃猿
奇優力,6214,99,右投右打,190,106,1994-01-15,2020-09-13,古巴,,投手,富邦悍將二軍
張肇元,6211,29,右投右打,182,110,1997-10-30,2022-05-22,中華民國,統一7-ELEVEn獅2020年第八輪,捕手,台鋼雄鷹
林原裕,6210,59,右投右打,185,76,2001-12-24,,中華民國,統一7-ELEVEn獅2020年第七輪,投手,統一7-ELEVEn獅二軍
林辰勳,6217,9,右投右打,180,70,2001-12-10,2021-03-25,中華民國,味全龍2020年第二輪,捕手,味全龍
趙璟榮,6215,42,右投左打,181,82,1998-06-12,2021-07-14,中華民國,味全龍2020年第九輪,投手,味全龍
何恆佑,6213,7,右投左打,185,86,2001-10-12,2021-05-07,中華民國,統一7-ELEVEn獅2020年第二輪,一壘手,統一7-ELEVEn獅二軍
王順和,6216,24,右投右打,175,70,2001-10-26,2021-08-28,中華民國,味全龍2020年第四輪,中外野手,味全龍
猛威爾,6208,51,右投右打,193,102,1989-10-09,2020-08-23,美國,,投手,味全龍二軍
劉貴元,6221,85,右投左打,177,74,2002-01-19,2024-05-08,中華民國,中信兄弟2020年第九輪,中外野手,中信兄弟二軍
曾家鋐,6218,59,右投右打,178,70,1997-09-03,,中華民國,中信兄弟2020年第八輪,投手,中信兄弟二軍
劉予承,6222,26,右投右打,175,80,2002-02-03,2022-04-03,中華民國,統一7-ELEVEn獅2020年第三輪,投手,統一7-ELEVEn獅二軍
馬鋼,6220,68,右投右打,185,84,2002-04-14,2022-06-12,中華民國,中信兄弟2020年第三輪,三壘手,中信兄弟二軍
李嘉祥,6219,73,右投右打,186,93,2001-09-10,2021-03-16,中華民國,統一7-ELEVEn獅2020年第九輪,投手,統一7-ELEVEn獅二軍
